"WEEK","ITEM_CODE","TOTAL_UNIT_SALES","TOTAL_VALUE_SALES","TOTAL_UNIT_AVG_WEEKLY_SALES","REGION"
"35-22","7503031116083","0.0640","1.3970","1.6410",TOTAL AUTOS AREA 6
"35-22","7501041508652","0.0230","4.7970","1.6430",TOTAL AUTOS AREA 6
"35-22","0737128047005","0.0330","1.3950","1.5000",TOTAL AUTOS AREA 6
"35-22","7503025939353","0.0020","0.1160","2.0000",TOTAL AUTOS AREA 6
"35-22","0612464080148","0.1490","3.6710","11.4620",TOTAL AUTOS AREA 6
"35-22","7502283280818","0.0060","0.4280","1.2000",TOTAL AUTOS AREA 6
"35-22","0037000018704","0.0160","1.6320","2.0000",TOTAL AUTOS AREA 6
"35-22","7501058717115","0.0360","1.1210","3.0000",TOTAL AUTOS AREA 6
"35-22","7501058795892","0.1400","14.8580","1.8230",TOTAL AUTOS AREA 6
"35-22","7501058717276","0.0160","2.1170","2.0000",TOTAL AUTOS AREA 6
"35-22","7501058717122","0.1090","4.4560","4.1920",TOTAL AUTOS AREA 6
"35-22","7501058795908","0.1130","22.9100","1.8520",TOTAL AUTOS AREA 6
"35-22","7501058797865BP2","0.0400","0.4400","4.0000",TOTAL AUTOS AREA 6
"35-22","7501058717252","0.1550","4.6830","2.6270",TOTAL AUTOS AREA 6
"35-22","7501058716798","0.3090","48.7350","2.4540",TOTAL AUTOS AREA 6
"35-22","7501058717030","4.8370","105.1190","21.2170",TOTAL AUTOS AREA 6
"35-22","7501058796578BP2","0.0540","2.3560","2.8420",TOTAL AUTOS AREA 6
"35-22","7501058753458","4.2610","95.8150","12.2100",TOTAL AUTOS AREA 6
"35-22","7501058715890","0.1680","40.4300","2.3010",TOTAL AUTOS AREA 6
"35-22","7702626213781","1.4160","75.0050","4.4390",TOTAL AUTOS AREA 6
"35-22","7501058757890","1.4680","130.9970","4.0330",TOTAL AUTOS AREA 6
"35-22","7501058716071","0.0390","5.5130","3.0000",TOTAL AUTOS AREA 6
"35-22","7501058757449","0.1890","35.5370","2.3920",TOTAL AUTOS AREA 6
"35-22","7501058792808BP1","0.0140","1.9490","3.5000",TOTAL AUTOS AREA 6
"35-22","7501058716804","0.1610","12.2790","2.1470",TOTAL AUTOS AREA 6
"35-22","7501058716767","0.5800","91.4210","3.5380",TOTAL AUTOS AREA 6
"35-22","7501058717023","6.9380","149.3500","29.9040",TOTAL AUTOS AREA 6
"35-22","7501058796578BP1","0.0540","2.3560","2.8420",TOTAL AUTOS AREA 6
"35-22","7501058796585","0.0080","0.7580","2.0000",TOTAL AUTOS AREA 6
"35-22","7501058716453","0.0050","0.3280","5.0000",TOTAL AUTOS AREA 6
"35-22","7503002319536","0.5440","50.6740","4.3520",TOTAL AUTOS AREA 6
"35-22","7501058716088","0.0730","10.1920","1.6980",TOTAL AUTOS AREA 6
"35-22","7501058757791","0.6110","114.2280","3.4330",TOTAL AUTOS AREA 6
"35-22","7501058715364","0.0210","0.4730","7.0000",TOTAL AUTOS AREA 6
"35-22","7501058752772","0.2250","6.6800","4.6880",TOTAL AUTOS AREA 6
"35-22","7501058716477","0.0070","0.2700","2.3330",TOTAL AUTOS AREA 6
"35-22","7501058757548","2.0420","77.2180","11.1580",TOTAL AUTOS AREA 6
"35-22","7503002319529","3.8770","212.5330","9.1440",TOTAL AUTOS AREA 6
"35-22","7501058792808BP2","0.0140","0.3170","3.5000",TOTAL AUTOS AREA 6
"35-22","7501058715883","0.1520","35.3800","2.1410",TOTAL AUTOS AREA 6
"35-22","7702626213774","1.1080","57.3490","3.6220",TOTAL AUTOS AREA 6
"35-22","7501058716422","0.0230","1.4270","2.8750",TOTAL AUTOS AREA 6
"35-22","7501058784353","1.2230","107.8390","3.6300",TOTAL AUTOS AREA 6
"35-22","7501058716064","0.0140","1.9920","2.0000",TOTAL AUTOS AREA 6
"35-22","7501058757630","0.2620","25.7980","3.5410",TOTAL AUTOS AREA 6
"35-22","7501058753441","3.4550","77.7100","10.0720",TOTAL AUTOS AREA 6
"35-22","7702626204208BP1","3.2130","34.7410","17.5570",TOTAL AUTOS AREA 6
"35-22","7501058784346","0.3220","60.9300","2.6830",TOTAL AUTOS AREA 6
"35-22","7501058796868","1.6480","26.1270","37.4550",TOTAL AUTOS AREA 6
"35-22","7891035040276","7.2400","93.5560","28.6170",TOTAL AUTOS AREA 6
"35-22","7501058796851","1.4050","22.2410","30.5430",TOTAL AUTOS AREA 6
"35-22","7501058714596","14.4850","183.4910","37.8200",TOTAL AUTOS AREA 6
"35-22","7891035040191","0.0140","0.1920","1.5560",TOTAL AUTOS AREA 6
"35-22","7501058751188","0.5550","52.2020","3.5810",TOTAL AUTOS AREA 6
"35-22","7501058716095","0.0560","8.2970","1.6970",TOTAL AUTOS AREA 6
"35-22","7501058751461","0.2140","39.5220","2.5480",TOTAL AUTOS AREA 6
"35-22","7501058757555","1.4100","53.2930","7.5400",TOTAL AUTOS AREA 6
"35-22","7501058751195","1.9630","108.9300","5.7070",TOTAL AUTOS AREA 6
"35-22","0046500022692","0.0030","0.3000","1.0000",TOTAL AUTOS AREA 6
"35-22","7501268200001","5.9370","59.3070","62.4950",TOTAL AUTOS SCANNING MEXICO
"35-22","7501268200506","0.2240","4.5920","16.0000",TOTAL AUTOS SCANNING MEXICO
"35-22","7501268200339","0.6440","20.5980","19.5150",TOTAL AUTOS SCANNING MEXICO
"35-22","7501268200025","15.7660","169.2840","78.8300",TOTAL AUTOS SCANNING MEXICO
"35-22","7501268200049","29.4870","534.3030","42.6730",TOTAL AUTOS SCANNING MEXICO
"35-22","7501268200070","11.7280","396.8900","28.1920",TOTAL AUTOS SCANNING MEXICO
"35-22","7501268200261","1.4790","73.4940","10.1300",TOTAL AUTOS SCANNING MEXICO
"35-22","7501268200513","2.2490","24.5050","14.5100",TOTAL AUTOS SCANNING MEXICO
"35-22","0757037512449","0.3440","30.8040","7.1670",TOTAL AUTOS SCANNING MEXICO
"35-22","0757037517123","0.0420","2.2190","1.5680",TOTAL AUTOS SCANNING MEXICO
"35-22","7501080900585","0.6920","184.4340","1.9660",TOTAL AUTOS SCANNING MEXICO
"35-22","0757037513552","0.0470","4.2250","2.1360",TOTAL AUTOS SCANNING MEXICO
"35-22","7501080954786","6.9210","159.7880","4.5420",TOTAL AUTOS SCANNING MEXICO
"35-22","7501080954793","1.8490","120.2390","3.9680",TOTAL AUTOS SCANNING MEXICO
"35-22","7501080955103","2.9220","529.8860","4.1740",TOTAL AUTOS SCANNING MEXICO
"35-22","0757037516935","0.1040","10.3020","34.6670",TOTAL AUTOS SCANNING MEXICO
"35-22","7501080955486","5.1660","398.8040","3.5780",TOTAL AUTOS SCANNING MEXICO
"35-22","7501080900165","10.5000","239.4510","10.0290",TOTAL AUTOS SCANNING MEXICO
"35-22","7501080952980","0.0010","0.1190","1.0000",TOTAL AUTOS SCANNING MEXICO
"35-22","7501080955530","0.0140","0.2660","14.0000",TOTAL AUTOS SCANNING MEXICO
"35-22","7501080900134","0.0430","1.0690","5.3750",TOTAL AUTOS SCANNING MEXICO
"35-22","7501080952997","2.6100","629.9060","3.8550",TOTAL AUTOS SCANNING MEXICO
"35-22","7501080900141","5.2570","393.0240","3.3890",TOTAL AUTOS SCANNING MEXICO
"35-22","7501080952973","0.0100","0.6800","10.0000",TOTAL AUTOS SCANNING MEXICO
"35-22","7501080900158","1.0200","143.1120","2.1970",TOTAL AUTOS SCANNING MEXICO
"35-22","0741120000746","0.0080","0.1580","2.6670",TOTAL AUTOS SCANNING MEXICO
"35-22","0741120000005","56.2550","533.2940","84.9780",TOTAL AUTOS SCANNING MEXICO
"35-22","0741120000036","11.8520","215.9760","23.8000",TOTAL AUTOS SCANNING MEXICO
"35-22","0741120000029","14.1090","422.3300","33.5130",TOTAL AUTOS SCANNING MEXICO
"35-22","0741120000012","0.2360","1.3450","14.7500",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071907692","5.0480","131.9700","4.3030",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071907654","0.0710","0.7420","4.1760",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071907722","0.0460","0.3930","2.5550",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071907661","12.5220","200.0750","7.1840",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071907715","0.0380","0.3900","1.5400",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071907425","3.0740","206.7640","4.2990",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071907401","0.0910","1.1260","8.2730",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071905285","0.0010","0.0110","1.0000",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071905346","1.3600","31.1890","3.7880",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071905292","2.7020","62.9850","3.8440",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071907784","0.0560","6.4200","3.7330",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071901393","0.0630","7.0170","3.7060",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071903854","0.0630","1.4060","2.3330",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071905537","0.0010","0.0210","1.0000",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071903861","2.6160","51.9070","8.4380",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071905551","51.0770","936.1660","41.2910",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071900136","27.2060","594.7830","19.2540",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071903311","4.2180","154.7760","6.5910",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071903366","4.5540","182.5100","5.5610",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071900143","59.9610","2290.1520","23.0970",TOTAL AUTOS SCANNING MEXICO
"35-22","7501126570598","0.0010","0.1280","1.0000",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071903427","0.0020","0.0190","2.0000",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071900112","1.6500","11.8310","14.4740",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071902956","7.4790","405.3830","10.0530",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071903304","0.1410","1.8760","4.4060",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071900129","63.0180","804.3110","28.0580",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071906725","0.9240","53.8730","2.6250",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071907074","5.1990","90.4420","9.9220",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071906701","2.9680","71.8750","4.5240",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071906718","4.2250","129.7980","3.7560",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071904103","0.2890","6.3560","5.3520",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071902093","2.2380","134.0790","3.7420",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071903885","1.4550","87.8300","4.6040",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071902109","6.0830","661.9150","4.0310",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071904431","13.9900","243.4720","14.5730",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071902314","0.3110","5.4670","5.2710",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071904424","13.3820","309.0550","9.3000",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071903878","5.5740","180.5570","6.8730",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071902086","12.4930","368.7480","7.1680",TOTAL AUTOS SCANNING MEXICO
"35-22","7501071906800","0.0180","0.7780","2.0000",TOTAL AUTOS SCANNING MEXICO
"35-22","7702137007152","2.4990","167.8580","2.7860",TOTAL AUTOS SCANNING MEXICO
"35-22","7702137007169","1.8600","124.5980","2.1480",TOTAL AUTOS SCANNING MEXICO
"35-22","4008455425412","4.6560","307.0060","6.2580",TOTAL AUTOS SCANNING MEXICO
"35-22","4008455460215","0.1200","10.9400","2.4000",TOTAL AUTOS SCANNING MEXICO
"35-22","4008455457512","5.0270","115.0750","9.0090",TOTAL AUTOS SCANNING MEXICO
"35-22","4008455458618","3.6830","261.1910","5.1010",TOTAL AUTOS SCANNING MEXICO
"35-22","4008455458717","0.3800","29.2580","2.5170",TOTAL AUTOS SCANNING MEXICO
"35-22","4008455423715","0.9810","64.1460","3.2380",TOTAL AUTOS SCANNING MEXICO
"35-22","4008455394114","1.0870","51.3760","2.6580",TOTAL AUTOS SCANNING MEXICO
"35-22","4008455394015","0.9280","43.6010","2.3380",TOTAL AUTOS SCANNING MEXICO
"35-22","4008455423616","0.5640","26.5090","1.7520",TOTAL AUTOS SCANNING MEXICO
"35-22","4008455394510","0.9860","46.4360","2.4650",TOTAL AUTOS SCANNING MEXICO
"35-22","4008455423517","0.5830","27.4340","1.8510",TOTAL AUTOS SCANNING MEXICO
"35-22","4008455394619","0.4400","20.5670","1.6420",TOTAL AUTOS SCANNING MEXICO
"35-22","4008455394213","0.6260","29.4290","1.9200",TOTAL AUTOS SCANNING MEXICO
"35-22","4008455394411","1.1440","53.6960","2.5090",TOTAL AUTOS SCANNING MEXICO
"35-22","4008455524917","2.4190","274.9280","4.2970",TOTAL AUTOS SCANNING MEXICO
"33-22","7501058795908","0.1000","26.2550","1.8220",TOTAL AUTOS AREA 4
"33-22","7501058797865BP2","0.0590","0.6320","4.2140",TOTAL AUTOS AREA 4
"33-22","7501058717252","0.0810","4.1210","1.9290",TOTAL AUTOS AREA 4
"33-22","7501058716798","0.3380","53.5560","2.6000",TOTAL AUTOS AREA 4
"33-22","7501058794956BP1","0.0020","0.2760","1.0000",TOTAL AUTOS AREA 4
"33-22","7501058717030","4.2860","95.3390","16.9420",TOTAL AUTOS AREA 4
"33-22","7501058796578BP2","0.1690","7.4460","4.9650",TOTAL AUTOS AREA 4
"33-22","7501058753458","2.3810","53.4590","8.1280",TOTAL AUTOS AREA 4
"33-22","7501058792778BP2","0.0040","0.0920","1.3330",TOTAL AUTOS AREA 4
"33-22","7501058715890","0.1360","32.2880","1.9430",TOTAL AUTOS AREA 4
"33-22","7702626213781","0.7870","40.8040","3.5940",TOTAL AUTOS AREA 4
"33-22","7501058757890","0.9280","84.1830","3.1900",TOTAL AUTOS AREA 4
"33-22","7501058716071","0.0130","1.7480","1.4440",TOTAL AUTOS AREA 4
"33-22","7501058757449","0.2110","39.4760","2.4530",TOTAL AUTOS AREA 4
"33-22","7501058792808BP1","0.0030","0.4260","1.0000",TOTAL AUTOS AREA 4
"33-22","7501058716804","0.1180","8.9660","2.0030",TOTAL AUTOS AREA 4
"33-22","7501058716767","0.7150","113.2350","3.8440",TOTAL AUTOS AREA 4
"33-22","7501058717023","6.6100","146.5540","25.9220",TOTAL AUTOS AREA 4
"33-22","7501058796950BP1","0.0040","0.1830","2.0000",TOTAL AUTOS AREA 4
"33-22","7501058794956BP2","0.0020","0.0530","1.0000",TOTAL AUTOS AREA 4
"33-22","7501058796578BP1","0.1690","7.4460","4.9650",TOTAL AUTOS AREA 4
"33-22","7501058796585","0.0130","1.3100","1.4440",TOTAL AUTOS AREA 4
"33-22","7503002319536","0.4840","45.6160","3.5620",TOTAL AUTOS AREA 4
"33-22","7501058716088","0.0940","10.1290","2.6970",TOTAL AUTOS AREA 4
"33-22","7501058757791","0.3010","53.4220","2.9800",TOTAL AUTOS AREA 4
"33-22","7501058752772","0.0030","0.0690","1.5000",TOTAL AUTOS AREA 4
"33-22","7501058716477","0.0020","0.0540","2.0000",TOTAL AUTOS AREA 4
"33-22","7501058757548","0.9490","32.6100","7.4110",TOTAL AUTOS AREA 4
"33-22","7503002319529","2.5240","133.6110","7.3590",TOTAL AUTOS AREA 4
"33-22","7501058792808BP2","0.0030","0.0690","1.0000",TOTAL AUTOS AREA 4
"33-22","7501058713780","0.0010","0.0250","1.0000",TOTAL AUTOS AREA 4
"33-22","7501058715883","0.1340","32.5930","1.7870",TOTAL AUTOS AREA 4
"33-22","7702626213774","0.8040","40.8840","3.3780",TOTAL AUTOS AREA 4
"33-22","7501058716422","0.0080","0.5410","1.3330",TOTAL AUTOS AREA 4
"33-22","7501058784353","0.9460","86.3880","3.2280",TOTAL AUTOS AREA 4
"33-22","7501058716064","0.0070","0.7500","1.4000",TOTAL AUTOS AREA 4
"33-22","7501058792778BP1","0.0040","0.5680","1.3330",TOTAL AUTOS AREA 4
"33-22","7501058757630","0.2400","23.9690","2.9630",TOTAL AUTOS AREA 4
"33-22","7501058753441","2.0510","45.9520","7.3250",TOTAL AUTOS AREA 4
"33-22","7702626204208BP1","2.3060","25.0590","12.3960",TOTAL AUTOS AREA 4
"33-22","7501058784346","0.2410","44.6790","2.2540",TOTAL AUTOS AREA 4
"33-22","7501058796868","1.2770","20.3790","22.4040",TOTAL AUTOS AREA 4
"33-22","7501058796844","0.0050","0.1080","2.5000",TOTAL AUTOS AREA 4
"33-22","7891035040276","3.9950","48.2620","18.5820",TOTAL AUTOS AREA 4
"33-22","7501058796851","1.1050","17.5780","19.0520",TOTAL AUTOS AREA 4
"33-22","7501058714596","5.5440","69.5440","19.1840",TOTAL AUTOS AREA 4
"33-22","7501058796837","0.0010","0.0220","1.0000",TOTAL AUTOS AREA 4
"33-22","7501058751188","0.3040","28.7010","2.5950",TOTAL AUTOS AREA 4
"33-22","7501058716095","0.0410","6.3650","1.8000",TOTAL AUTOS AREA 4
"33-22","7501058751461","0.1390","25.8960","2.0440",TOTAL AUTOS AREA 4
"33-22","7501058757463","0.0060","0.1890","3.0000",TOTAL AUTOS AREA 4
"33-22","7501058757555","0.5490","19.0330","4.6100",TOTAL AUTOS AREA 4
"33-22","7501058751195","1.3130","70.2100","4.4370",TOTAL AUTOS AREA 4
"33-22","0046500022692","0.0100","0.8480","1.6670",TOTAL AUTOS AREA 4
"33-22","7501268200001","0.1040","1.0920","7.4290",TOTAL AUTOS AREA 5
"33-22","7501268200506","0.0020","0.0410","2.0000",TOTAL AUTOS AREA 5
"33-22","7501268200339","0.0410","1.2900","5.8570",TOTAL AUTOS AREA 5
"33-22","7501268200025","10.3430","111.3380","102.4060",TOTAL AUTOS AREA 5
"33-22","7501268200049","19.8840","358.9590","71.7850",TOTAL AUTOS AREA 5
"33-22","7501268200070","7.8150","265.5810","44.9110",TOTAL AUTOS AREA 5
"33-22","7501268200261","1.2550","61.6100","12.4260",TOTAL AUTOS AREA 5
"33-22","7501268200513","0.9140","9.9260","21.2560",TOTAL AUTOS AREA 5
"33-22","0757037517123","0.0010","0.0510","0.6670",TOTAL AUTOS AREA 5
"33-22","7501080900585","0.2010","54.2300","1.8630",TOTAL AUTOS AREA 5
"33-22","7501080954786","1.1230","25.8490","4.6800",TOTAL AUTOS AREA 5
"33-22","7501080954793","0.4000","26.0170","4.7670",TOTAL AUTOS AREA 5
"33-22","7501080955103","0.6780","124.9060","4.2400",TOTAL AUTOS AREA 5
"33-22","7501080955486","1.8570","139.4390","6.0890",TOTAL AUTOS AREA 5
"33-22","7501080900165","0.5480","12.6520","5.5920",TOTAL AUTOS AREA 5
"33-22","7501080900134","0.0040","0.1700","1.0830",TOTAL AUTOS AREA 5
"33-22","7501080952997","0.6800","163.0370","5.1920",TOTAL AUTOS AREA 5
"33-22","7501080900141","1.3680","102.0500","5.1640",TOTAL AUTOS AREA 5
"33-22","7501080900158","0.2120","29.4970","2.9490",TOTAL AUTOS AREA 5
"33-22","0741120000005","1.0400","10.2370","14.6480",TOTAL AUTOS AREA 5
"33-22","0741120000036","0.3010","5.7740","5.7880",TOTAL AUTOS AREA 5
"33-22","0741120000029","0.3720","12.1100","6.7640",TOTAL AUTOS AREA 5
"33-22","0741120000012","0.0240","0.1370","12.0000",TOTAL AUTOS AREA 5
"33-22","7501071907692","0.6040","15.2980","3.8220",TOTAL AUTOS AREA 5
"33-22","7501071907661","1.4170","22.2760","6.5890",TOTAL AUTOS AREA 5
"33-22","7501071907715","0.0020","0.0210","0.4370",TOTAL AUTOS AREA 5
"33-22","7501071907425","0.5970","36.4260","4.7380",TOTAL AUTOS AREA 5
"33-22","7501071905346","0.3690","8.4510","4.3360",TOTAL AUTOS AREA 5
"33-22","7501071905292","0.6670","14.9580","4.5080",TOTAL AUTOS AREA 5
"33-22","7501071907784","0.0210","2.4380","3.5000",TOTAL AUTOS AREA 5
"33-22","7501071903854","0.0010","0.0240","1.0000",TOTAL AUTOS AREA 5
"33-22","7501071903861","0.6150","12.4940","7.1510",TOTAL AUTOS AREA 5
"33-22","7501071905551","9.0260","166.1980","37.1440",TOTAL AUTOS AREA 5
"33-22","7501071900136","3.2970","70.6360","16.6540",TOTAL AUTOS AREA 5
"33-22","7501071903311","0.6210","19.0420","5.6940",TOTAL AUTOS AREA 5
"33-22","7501071903366","1.0240","39.3380","7.1100",TOTAL AUTOS AREA 5
"33-22","7501071900143","11.4420","403.0420","25.8870",TOTAL AUTOS AREA 5
"33-22","7501126570598","0.0010","0.1280","1.0000",TOTAL AUTOS AREA 5
"33-22","7501071900112","0.1840","1.1210","15.3330",TOTAL AUTOS AREA 5
"33-22","7501071902956","2.5070","124.3060","12.9900",TOTAL AUTOS AREA 5
"33-22","7501071903304","0.0490","0.6260","6.1250",TOTAL AUTOS AREA 5
"33-22","7501071900129","9.1870","104.9580","25.8060",TOTAL AUTOS AREA 5
"33-22","7501071906725","0.2280","12.8010","2.7480",TOTAL AUTOS AREA 5
"33-22","7501071907074","1.2650","22.0950","11.8220",TOTAL AUTOS AREA 5
"33-22","7501071906701","0.3300","8.5510","3.9760",TOTAL AUTOS AREA 5
"33-22","7501071906718","0.6460","19.3370","3.4380",TOTAL AUTOS AREA 5
"33-22","7501071904103","0.0950","2.3010","5.9440",TOTAL AUTOS AREA 5
"33-22","7501071902093","0.3510","20.6350","2.9490",TOTAL AUTOS AREA 5
"33-22","7501071903885","0.4640","27.3180","4.6870",TOTAL AUTOS AREA 5
"33-22","7501071902109","1.1460","118.6120","4.1510",TOTAL AUTOS AREA 5
"33-22","7501071904431","2.0770","36.2160","16.7500",TOTAL AUTOS AREA 5
"33-22","7501071902314","0.0080","0.0910","2.6670",TOTAL AUTOS AREA 5
"33-22","7501071904424","2.5320","52.6740","10.6820",TOTAL AUTOS AREA 5
"33-22","7501071903878","0.4390","13.9120","3.8510",TOTAL AUTOS AREA 5
"33-22","7501071902086","2.0880","54.6080","6.7350",TOTAL AUTOS AREA 5
"33-22","7702137007152","0.6870","44.9230","3.5430",TOTAL AUTOS AREA 5
"33-22","7702137007169","0.4900","31.7370","2.2990",TOTAL AUTOS AREA 5
"49-22","7501071907401","0.0020","0.0300","1.0000",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071905346","1.2420","29.5470","3.2510",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071905292","1.8900","46.3440","3.1290",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071907784","0.0280","2.9140","2.1540",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071901393","0.0450","5.0090","3.2140",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071903861","0.2510","5.0080","4.7360",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071905551","29.9260","662.9760","23.4720",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071900136","21.0970","445.8240","15.6620",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071903311","4.4220","181.4820","6.4180",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071903366","6.9950","286.0400","7.0090",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071900143","45.1350","1746.9930","16.7110",TOTAL AUTOS SCANNING MEXICO
"49-22","7501126570598","0.0010","0.1280","1.0000",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071903427","0.1260","0.9130","9.0000",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071900112","0.7070","5.8900","8.6220",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071902956","13.8190","746.1610","10.4850",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071903304","0.0030","0.0410","1.5000",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071900129","34.9950","504.4190","16.0530",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071906725","0.7880","48.8500","2.5250",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071907074","4.0020","73.4080","7.8150",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071906701","2.0580","57.3710","3.5980",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071906718","2.7540","97.1000","2.8130",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071904103","0.1350","3.6810","3.1400",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071902093","1.8190","118.8540","3.2950",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071903885","1.3200","81.2100","4.3130",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071902109","6.9320","684.2670","4.0560",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071904431","11.4770","210.7130","11.9300",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071902314","0.1290","2.5530","2.8710",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071904424","9.2920","258.5040","6.7770",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071903878","3.6940","127.7000","5.6490",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071902086","8.9810","308.4480","5.3400",TOTAL AUTOS SCANNING MEXICO
"49-22","7501071906800","0.0550","2.7030","3.6670",TOTAL AUTOS SCANNING MEXICO
"49-22","7702137007152","1.7670","123.4170","2.4600",TOTAL AUTOS SCANNING MEXICO
"49-22","7702137007169","0.9140","64.9020","1.7150",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455425412","3.9630","266.2520","5.3130",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455460215","0.0680","6.6440","1.8890",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455457512","5.4120","125.0940","6.8590",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455458618","2.1350","158.8050","3.5760",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455458717","0.5110","39.4080","2.5170",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455423715","0.5020","33.5800","2.3240",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455394114","0.9350","44.2300","2.4150",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455394015","0.6890","32.5760","2.1330",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455423616","0.5410","25.3980","1.8080",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455394510","0.6600","31.0350","2.1010",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455423517","0.4490","21.2540","1.7270",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455394619","0.3350","15.7260","1.5730",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455394213","0.4890","23.1980","1.9320",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455394411","0.7420","35.0220","2.0780",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455524917","2.4070","263.6340","4.1070",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455438016","0.7730","51.5990","2.2150",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455459417","1.1570","84.0570","2.7610",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455476711","1.0920","31.8640","4.0000",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455457710","0.0020","0.0460","1.0000",TOTAL AUTOS SCANNING MEXICO
"49-22","7502275145897","1.3850","198.5990","2.7210",TOTAL AUTOS SCANNING MEXICO
"49-22","4008455567013","3.9740","91.6250","4.7030",TOTAL AUTOS SCANNING MEXICO
"49-22","3045206382007","0.1680","15.0910","1.6310",TOTAL AUTOS SCANNING MEXICO
"49-22","3045206360609","0.1180","13.2160","1.4940",TOTAL AUTOS SCANNING MEXICO
